samplename_barcode,input,filtered,denoisedF,denoisedR,merged,nonchim
S80_rps10,71798,60653,60643,60637,60565,60558
S81_rps10,45376,37912,37905,37869,37845,37820
S82_rps10,18209,14125,14120,14109,14104,14104
S83_rps10,29205,22895,22864,22882,22851,22851
S84_rps10,45465,36964,36933,36909,36755,36755
S85_rps10,106872,84655,84638,84610,82904,82575
S86_rps10,185987,147948,147876,147892,146743,146360
S87_rps10,84401,73730,73691,73709,73573,73460
S88_rps10,170183,141018,140613,140819,140374,139975
S89_rps10,108483,83355,83323,83309,82859,82857
S9_rps10,19925,17416,17403,17405,17399,17399
S90_rps10,113410,92532,92465,92486,91914,91906
S91_rps10,61108,49276,49260,49258,48994,48991
S92_rps10,80238,60570,60522,60500,60261,60261
S93_rps10,182699,142136,142079,142043,141825,141585
S94_rps10,63395,45813,45797,45763,45738,45738
S95_rps10,159752,113399,113367,113365,113189,113163
S96_rps10,137058,96051,95903,95946,95216,95119
S97_rps10,119706,92567,92503,92438,92174,92107
S98_rps10,80640,56618,56604,56556,56363,56363
S99_rps10,36533,18374,18368,18361,18346,18346
SDNA_C1_rps10,84,23,7,15,0,0
SDNA_C2_rps10,215,40,23,23,23,23
SDNA_C3_rps10,486,101,92,83,78,78
SDNA_C4_rps10,420,125,110,114,108,108
SMC1_rps10,114190,77794,77446,77255,71401,53280
SMC2_rps10,110500,75066,74571,74563,69148,51567
SMC3_rps10,206857,137280,136741,136416,122685,85003
SMC4_rps10,186839,123302,122897,122629,115090,82784
SPCR_C1_rps10,158,26,22,6,6,6
SPCR_C2_rps10,104,47,45,45,44,44
SPCR_C3_rps10,1226,168,141,136,135,135
SPCR_C4_rps10,334,59,31,39,17,17
