samplename_barcode,input,filtered,denoisedF,denoisedR,merged,nonchim
F3D0_r16S,7733,7112,6976,6979,6540,6528
F3D1_r16S,5829,5299,5226,5239,5027,5016
F3D141_r16S,5926,5463,5331,5357,4986,4863
F3D142_r16S,3158,2914,2799,2830,2595,2521
F3D143_r16S,3164,2941,2822,2868,2553,2519
F3D144_r16S,4798,4312,4150,4228,3646,3507
F3D145_r16S,7331,6741,6592,6627,6079,5820
F3D146_r16S,4993,4560,4450,4470,3968,3879
F3D147_r16S,16956,15636,15433,15505,14233,13006
F3D148_r16S,12332,11412,11250,11267,10529,9935
F3D149_r16S,13006,12017,11857,11898,11154,10653
F3D150_r16S,5474,5032,4879,4925,4349,4240
F3D2_r16S,19489,18075,17907,17939,17431,16835
F3D3_r16S,6726,6250,6145,6176,5850,5486
F3D5_r16S,4418,4052,3930,3991,3713,3713
F3D6_r16S,7933,7369,7231,7294,6865,6678
F3D7_r16S,5103,4765,4646,4673,4428,4217
F3D8_r16S,5274,4871,4786,4802,4576,4547
F3D9_r16S,7023,6504,6341,6442,6092,6015
Mock_r16S,4748,4314,4287,4286,4269,4269
