sample_nameBarcode,input,filtered,denoisedF,denoisedR,merged,nonchim
S1_rps10,36760,20639,20625,20620,20597,20597
S2_rps10,50668,12045,14415,14410,14383,14383
S1_its,35899,14420,11927,11902,11781,11781
S2_its,35377,10762,10594,10601,10488,10488
