Genus,Number of sequences
Caliciopsis,1
Calicium,12
Callistosporium,2
Calloria,1
Caloboletus,1
Calocera,1
Calocybe,2
Calocybella,1
Calogaya,7
Calonectria,30
Calongea,1
Calophoma,2
Caloplaca,84
Calosphaeria,2
Calostoma,9
Calvatia,8
Calvitimela,9
Calycina,2
Calyptella,1
Camarophyllopsis,5
Camarophyllus,1
Camarops,1
Camarosporium,2
Camarosporula,1
Camillea,3
Campanella,1
Campanophyllum,1
Camptophora,1
Campylocarpon,3
Campylospora,5
Canalisporium,3
Candelabrochaete,1
Candelaria,4
Candelariaceae,2
Candelariella,12
Candida,209
Canomaculina,2
Canoparmelia,5
Cantharellaceae,2
Cantharellales,42
Cantharellopsis,1
Cantharellula,1
Cantharellus,9
Capnobotryella,6
Capnodiales,67
Capnodium,2
Capronia,14
Carbonea,2
Carbonicola,2
Carestiella,1
Caryophylloseptoria,4
Castanediella,2
Catapyrenium,5
Catathelasma,2
Catenariaceae,1
Catenarina,2
Catenulostroma,3
Catolechia,1
Cazia,1
Celerioriella,1
Celoporthe,2
Cenangium,2
Cenococcum,16
Cephaliophora,1
Cephalosporium,4
Cephalotheca,2
Cephalothecaceae,3
Ceraceomyces,4
Ceramothyrium,2
Ceratobasidiaceae,116
Ceratobasidium,62
Ceratocystidaceae,7
Ceratocystiopsis,9
Ceratocystis,40
Ceratorhiza,3
Cercopemyces,2
Cercophora,3
Cercospora,9
Cercosporidium,1
Cercozoa,6
Cerinosterus,1
Ceriporia,19
Ceriporiopsis,13
Cerothallia,2
Cetraria,10
Cetrariella,4
Cetraspora,5
Cetrelia,6
Cetreliopsis,1
Chaenotheca,12
Chaenothecopsis,5
Chaetocalathus,6
Chaetocladium,2
Chaetodermella,1
Chaetomella,2
Chaetomiaceae,16
Chaetomidium,1
Chaetomium,34
Chaetopsina,2
Chaetospermum,3
Chaetosphaeria,13
Chaetosphaeriaceae,6
Chaetosphaeriales,5
Chaetosphaeronema,2
Chaetothyriaceae,3
Chaetothyriales,110
Chalara,15
Chalastospora,1
Chalciporus,4
Chamaeleomyces,1
Chamaemyces,2
Chamonixia,2
Charcotiana,1
Cheilymenia,2
Cheimonophyllum,1
Chionosphaera,2
Chionosphaeraceae,1
Chlamydopus,1
Chlamydotubeufia,2
Chlorencoelia,2
Chloridium,4
Chlorociboria,14
Chlorophyllum,9
Chlorovibrissea,1
Choanephora,2
Choiromyces,5
Chorioactis,1
Chromelosporium,2
Chromocleista,1
Chromosera,1
Chroogomphus,10
Chrysomphalina,3
Chrysomyxa,10
Chrysoporthe,1
Chrysosporium,16
Chrysozyma,1
Chrysozymaceae,1
Chytridiaceae,1
Chytridiales,1
Chytridiomycetes,7
Chytridiomycota,23
Chytridium,1
Chytriomyces,3
Ciboria,5
Ciborinia,2
Ciliophora,1
Cinereomyces,1
Circinaria,19
Circinella,7
Cistella,10
Citeromyces,1
Cladia,16
Cladobotryum,12
Cladochasiella,1
Cladochytrium,1
Cladonia,104
Cladoniaceae,1
Cladophialophora,61
Cladoriella,1
Cladorrhinum,6
Cladosporium,17
Clarkeinda,1
Claroideoglomeraceae,6
Claroideoglomus,37
Clathrosporium,2
Clathrus,2
Claussenomyces,2
Clavaria,25
Clavariaceae,29
Clavariadelphus,8
Clavariopsis,1
Clavatospora,1
Claviceps,16
Clavicipitaceae,12
Claviradulomyces,1
Clavispora,5
Clavulicium,1
Clavulina,83
Clavulinaceae,33
Clavulinopsis,6
Cleistocybe,2
Climacocystis,1
Climacodon,1
Cliostomum,1
Clitocella,1
Clitocybe,24
Clitocybula,7
Clitopilus,15
Clonostachys,9
Clydaea,1
Clypeosphaeria,2
Coccidioides,1
Coccinonectria,2
Coccocarpia,10
Coccomyces,9
Cochliobolus,1
Coelopogon,1
Coemansia,3
Cokeromyces,1
Colacogloea,4
Coleosporium,1
Collemataceae,1
Collembolispora,1
Colletogloeum,2
Colletotrichum,134
Collophora,6
Collybia,3
Colpoma,4
Coltricia,7
Coltriciella,2
Combea,2
Comoclathris,2
Coniella,1
Coniocessia,1
Coniochaeta,24
Coniochaetaceae,12
Coniochaetales,13
Coniolariella,3
Coniolepiota,1
Coniophora,8
Coniosporium,8
Coniothyrium,10
Conlarium,1
Connopus,1
Conocybe,37
Conoideocrella,1
Cookeina,9
Coprinellus,30
Coprinopsis,45
Coprinus,11
Cora,40
Coralloidiomyces,1
Corallomycetella,1
Corallonectria,1
Cordana,4
Cordyceps,21
Cordycipitaceae,13
Corella,3
Coriolopsis,7
Corneriella,2
Cornicularia,1
Cornuvesica,2
Corollospora,4
Corticiaceae,15
Corticiales,3
Corticium,3
Cortinariaceae,94
Cortinarius,879
Corymbiglomus,2
Coryne,1
Corynelia,2
Corynespora,8
Coscinocladium,1
Cosmospora,5
Costatisporus,1
Cotylidia,1
Craterellus,19
Craterocolla,1
Crepidotus,9
Crespoa,1
Cribbea,1
Crinipellis,20
Crinitospora,1
Cristinia,1
Crocicreas,2
Cronartiaceae,2
Cronartium,10
Crucellisporiopsis,1
Crucibulum,1
Cruentomycena,2
Crustoderma,5
Cryomyces,1
Cryphonectria,4
Cryphonectriaceae,8
Cryptendoxyla,1
Cryptococcus,88
Cryptodiaporthe,4
Cryptodiscus,5
Cryptomarasmius,1
Cryptometrion,2
Cryptomyces,1
Cryptosphaeria,2
Cryptosporella,4
Cryptosporiopsis,7
Cryptostroma,1
Cryptotrichosporon,2
Cryptovalsa,2
Ctenomyces,2
Cucurbitaria,1
Cucurbitariaceae,1
Cudonia,8
Cudoniella,1
Cunninghamella,12
Cunninghamellaceae,1
Cuphophyllus,12
Curreya,3
Curvibasidium,3
Curvularia,36
Cyathicula,2
Cyathus,6
Cyberlindnera,11
Cyclaneusma,2
Cyclomyces,2
Cylindrium,1
Cylindrobasidium,2
Cylindrocarpon,3
Cylindrocarpostylus,1
Cylindrocladiella,5
Cylindrocladium,1
Cylindrosympodium,1
Cyllamyces,2
Cymatoderma,1
Cyphelium,3
Cyphellaceae,1
Cyphellophora,14
Cyphellopsis,1
Cyphellostereum,1
Cyptotrama,4
Cystangium,1
Cystobasidiomycetes,1
Cystobasidiopsis,1
Cystobasidium,10
Cystocoleus,1
Cystodendron,1
Cystoderma,12
Cystodermella,5
Cystofilobasidiaceae,1
Cystofilobasidiales,4
Cystofilobasidium,8
Cystolepiota,9
Cystostereaceae,1
Cystostereum,1
Cystotheca,2
Cytidia,1
Cytospora,25
Cyttaria,1
Dacrymyces,1
Dacrymycetaceae,2
Dacrymycetes,1
Dacryobolus,3
Dacryopinax,1
Dactylaria,1
Dactylella,5
Dactylellina,1
